Channel,Followers
ninja,18496564
auronplay,15049230
rubius,13919996
ibai,12927416
xqc,11717481
tfue,11384873
thegrefg,11253869
shroud,10501589
juansguarnizo,10340156
pokimane,9308534
sodapoppin,8836363
elspreen,7458994
myth,7446663
heelmike,7429524
tommyinnit,7390492
adinross,7251801
elmariana,7199235
nickmercs,6661295
riotgames,6547561
dream,6414701
sypherpk,6358925
amouranth,6357499
alanzoka,6343381
summit1g,6170974
esl_csgo,6004902
arigameplays,5956818
clix,5835364
quackity,5646916
fortnite,5434397
elded,5430379
mongraal,5357750
robleis,5288255
loltyler1,5212646
bugha,5185499
tubbo,5136211
georgenotfound,5114245
moistcr1tikal,4919852
montanablack88,4879143
kaicenat,4833559
slakun10,4676331
wilbursoot,4670752
dakotaz,4663400
ranboolive,4456925
nickeh30,4373940
philza,4154657
squeezie,4132475
loud_coringa,4084009
sykkuno,4045694
quackitytoo,4013187
benjyfishy,3935840
rocketleague,3917067
gotaga,3900038
elraenn,3882842
symfuhny,3859229
gaules,3856618
valorant,3733358
coscu,3727050
nobru,3718864
karljacobs,3705919
castro_1021,3681234
missasinfonia,3651907
casimito,3542564
carreraaa,3479661
rivers_gg,3441242
buster,3425967
s1mple,3376218
asmongold,3364117
trymacs,3327729
sapnap,3315111
fernanfloo,3308642
elxokas,3303132
tenz,3293843
alexby11,3263574
iamcristinini,3250889
illojuan,3200569
biyin_,3137670
syndicate,3121011
x2twins,3110055
staryuuki,3011432
aydan,2960055
jelty,2953161
lirik,2925880
lolitofdez,2916335
wtcn,2862048
aceu,2861461
loserfruit,2859511
mrsavage,2846126
cloakzy,2846015
easportsfifa,2820421
luzu,2819216
jacksepticeye,2817914
axozer,2775274
disguisedtoast,2775260
nightblue3,2720463
anomaly,2700638
nihachu,2694613
stableronaldo,2653305
cellbit,2637456
iitztimmy,2632539
imaqtpie,2591040
tarik,2589436
litkillah,2558566
nimuvt,2557741
rainbow6,2552045
kendinemuzisyen,2548417
n3koglai,2531325
hasanabi,2489909
reborn_live,2461089
