"Ranking","Image","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/c7aaf7b0-49c7-4dd3-8228-861478bfd435-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","603190110","53295","59844","11317","18496564","1004807","false","false","English","Ninja"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/bf1d52e3-b46b-4c07-9b4f-a1ab8c4e40f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","5693989935","62625","412200","90921","15049230","2882636","true","false","Spanish","auronplay"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","2960892540","85320","372079","34703","13919996","2411720","true","false","Spanish","Rubius"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6141711150","77265","3351678","79488","12927416","3241514","true","false","Spanish","ibai"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","12102456435","188460","312158","64217","11717481","1549945","true","false","English","xQc"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","1211385720","117630","52689","10298","11384873","481329","true","false","English","Tfue"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/de4cee58-aee7-400d-b823-32aa7a1d3235-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","1815661860","81690","1745462","22226","11253869","1407468","true","false","Spanish","TheGrefg"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2317407735","130860","156716","17709","10501589","490311","true","false","English","shroud"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","2504499390","92040","142570","27210","10340156","2787374","true","false","Spanish","juansguarnizo"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/6cd4de40-1a83-46c7-aea5-3bd73f90e7e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","pokimane","532330560","34530","96124","15416","9308534","319477","true","false","English","pokimane"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","1538828265","89160","68378","17259","8836363","5617105","true","true","English","sodapoppin"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","3474967335","62850","403954","55289","7458994","3919618","true","false","Spanish","ElSpreen"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Myth","86809305","25170","12427","3448","7446663","36310","true","false","English","Myth"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/65407962-515e-4153-bf2d-8fd943395ff3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Heelmike","99920595","57105","11028","1749","7429524","30820","true","true","English","Heelmike"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/1a50f189-3f73-4a93-a6e4-d53e8a26fceb-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","tommyinnit","182471445","6345","98267","28758","7390492","311788","true","false","English","tommyinnit"
